metodo,plataforma,n,smoother,iteracoes,erro,residuo,tempo_ms
sg,cuda,1024,jacobi_amortecido,100000,0.686262,6.77313,26382.4
sg,cuda,1024,gauss_seidel_rb,100000,0.390145,5.44553,31960
sg,cuda,512,jacobi_amortecido,100000,0.221795,2.18906,8128.95
sg,cuda,512,gauss_seidel_rb,100000,0.0231655,0.323377,9708.72
sg,cuda,2048,jacobi_amortecido,100000,0.91017,8.98302,91483.2
sg,cuda,2048,gauss_seidel_rb,100000,0.790327,11.0312,116254
sg,cuda,128,jacobi_amortecido,85944,5.01999e-05,9.99887e-09,2687.44
sg,cuda,128,gauss_seidel_rb,34952,5.02002e-05,9.99919e-09,1345.7
sg,cuda,64,jacobi_amortecido,21482,0.000200821,9.99352e-09,611.879
sg,cuda,64,gauss_seidel_rb,8736,0.000200821,9.98838e-09,305.304
sg,cuda,4096,jacobi_amortecido,100000,0.976744,9.64007,363886
sg,cuda,4096,gauss_seidel_rb,100000,0.94287,13.1603,467008
sg,cuda,256,jacobi_amortecido,100000,0.00240737,0.0238833,4058.07
sg,cuda,256,gauss_seidel_rb,100000,1.22619e-05,4.0204e-06,4945.81
sg,cpu,1024,gauss_seidel,100000,0.390144,3.85059,535674
sg,cpu,1024,sor,100000,0.279867,2.7622,760212
sg,cpu,1024,jacobi_amortecido,100000,0.686262,6.77313,356470
sg,cpu,1024,gauss_seidel_rb,100000,0.390145,5.44553,400146
sg,cpu,512,gauss_seidel,100000,0.0231653,0.228668,132071
sg,cpu,512,sor,100000,0.00613155,0.0605487,188892
sg,cpu,512,jacobi_amortecido,100000,0.221795,2.18906,86744
sg,cpu,512,gauss_seidel_rb,100000,0.0231655,0.323377,99871.3
sg,cpu,2048,gauss_seidel,100000,0.790326,7.80021,3.86296e+06
sg,cpu,2048,sor,100000,0.727341,7.17857,4.78204e+06
sg,cpu,2048,jacobi_amortecido,100000,0.91017,8.98302,3.21596e+06
sg,cpu,2048,gauss_seidel_rb,100000,0.790327,11.0312,3.33063e+06
sg,cpu,128,gauss_seidel,34378,5.01999e-05,9.99596e-09,2540.12
sg,cpu,128,sor,25407,5.01999e-05,9.99808e-09,2757.12
sg,cpu,128,jacobi_amortecido,85944,5.01999e-05,9.99887e-09,4144.08
sg,cpu,128,gauss_seidel_rb,34952,5.02002e-05,9.99919e-09,2035.25
sg,cpu,64,gauss_seidel,8593,0.000200821,9.98742e-09,149.378
sg,cpu,64,sor,6349,0.000200821,9.97994e-09,164.822
sg,cpu,64,jacobi_amortecido,21482,0.000200821,9.99352e-09,254.085
sg,cpu,64,gauss_seidel_rb,8736,0.000200821,9.98838e-09,131.824
sg,cpu,4096,gauss_seidel,100000,0.942869,9.30575,1.58075e+07
sg,cpu,4096,sor,100000,0.923495,9.11453,1.95113e+07
sg,cpu,4096,jacobi_amortecido,100000,0.976744,9.64007,1.29383e+07
sg,cpu,4096,gauss_seidel_rb,100000,0.94287,13.1603,1.41209e+07
sg,cpu,256,gauss_seidel,100000,1.22619e-05,2.84317e-06,30597.2
sg,cpu,256,sor,100000,1.25485e-05,1.39688e-08,44680.1
sg,cpu,256,jacobi_amortecido,100000,0.00240737,0.0238833,19203.4
sg,cpu,256,gauss_seidel_rb,100000,1.22619e-05,4.0204e-06,23180
mg,cuda,1024,jacobi_amortecido,13,7.83936e-07,4.74698e-09,15.406
mg,cuda,1024,gauss_seidel_rb,8,7.84148e-07,3.05032e-09,13.0726
mg,cuda,512,jacobi_amortecido,13,3.13704e-06,4.70253e-09,8.27696
mg,cuda,512,gauss_seidel_rb,8,3.13725e-06,3.04346e-09,7.08208
mg,cuda,2048,jacobi_amortecido,13,1.95661e-07,4.8663e-09,46.3529
mg,cuda,2048,gauss_seidel_rb,8,1.95873e-07,3.12834e-09,40.024
mg,cuda,128,jacobi_amortecido,13,5.02005e-05,4.60694e-09,5.07568
mg,cuda,128,gauss_seidel_rb,8,5.02007e-05,3.02302e-09,4.46925
mg,cuda,64,jacobi_amortecido,13,0.000200821,4.51334e-09,7.81286
mg,cuda,64,gauss_seidel_rb,8,0.000200822,2.95845e-09,3.67936
mg,cuda,4096,jacobi_amortecido,13,4.85926e-08,5.97198e-09,171.977
mg,cuda,4096,gauss_seidel_rb,8,4.88043e-08,4.24153e-09,151.112
mg,cuda,256,jacobi_amortecido,13,1.25495e-05,4.65944e-09,5.95402
mg,cuda,256,gauss_seidel_rb,8,1.25497e-05,3.03943e-09,5.37885
mg,cpu,1024,gauss_seidel,9,7.84306e-07,5.57617e-09,289.733
mg,cpu,1024,sor,8,7.84342e-07,6.51493e-09,355.694
mg,cpu,1024,jacobi_amortecido,13,7.83936e-07,4.74715e-09,286.289
mg,cpu,1024,gauss_seidel_rb,8,7.84148e-07,3.05032e-09,197.75
mg,cpu,512,gauss_seidel,9,3.13741e-06,5.56782e-09,70.3942
mg,cpu,512,sor,8,3.13744e-06,6.47013e-09,86.7252
mg,cpu,512,jacobi_amortecido,13,3.13704e-06,4.70253e-09,68.413
mg,cpu,512,gauss_seidel_rb,8,3.13725e-06,3.04346e-09,48.1317
mg,cpu,2048,gauss_seidel,9,1.96031e-07,5.62501e-09,1579.68
mg,cpu,2048,sor,8,1.96068e-07,6.5908e-09,1786.33
mg,cpu,2048,jacobi_amortecido,13,1.95661e-07,4.86563e-09,1793.24
mg,cpu,2048,gauss_seidel_rb,8,1.95873e-07,3.12834e-09,1151.6
mg,cpu,128,gauss_seidel,9,5.02009e-05,5.4762e-09,3.14692
mg,cpu,128,sor,8,5.02009e-05,6.22137e-09,4.51209
mg,cpu,128,jacobi_amortecido,13,5.02005e-05,4.6069e-09,2.80398
mg,cpu,128,gauss_seidel_rb,8,5.02007e-05,3.02302e-09,2.13582
mg,cpu,64,gauss_seidel,9,0.000200822,5.21887e-09,0.699464
mg,cpu,64,sor,8,0.000200822,5.77021e-09,0.979781
mg,cpu,64,jacobi_amortecido,13,0.000200821,4.51336e-09,0.773623
mg,cpu,64,gauss_seidel_rb,8,0.000200822,2.95845e-09,0.529975
mg,cpu,4096,gauss_seidel,9,4.89636e-08,6.31299e-09,6603.04
mg,cpu,4096,sor,8,4.89989e-08,7.25557e-09,7425.1
mg,cpu,4096,jacobi_amortecido,13,4.85925e-08,5.97218e-09,7660.88
mg,cpu,4096,gauss_seidel_rb,8,4.88043e-08,4.24153e-09,5013.56
mg,cpu,256,gauss_seidel,9,1.25499e-05,5.54795e-09,18.089
mg,cpu,256,sor,8,1.25499e-05,6.39255e-09,22.2863
mg,cpu,256,jacobi_amortecido,13,1.25495e-05,4.65945e-09,17.7676
mg,cpu,256,gauss_seidel_rb,8,1.25497e-05,3.03943e-09,12.7026
